vote_date,vote_type_id,vote_count
2022-09-01,1,1812
2022-09-01,2,39856
2022-09-01,3,5910
2022-09-01,4,4
2022-09-01,5,3033
2022-09-01,8,48
2022-09-01,9,61
2022-09-01,10,2529
2022-09-01,11,113
2022-09-01,12,35
2022-09-01,15,220
2022-09-01,16,309
2022-09-02,1,1652
2022-09-02,2,36173
2022-09-02,3,5387
2022-09-02,4,5
2022-09-02,5,2730
2022-09-02,8,46
2022-09-02,9,45
2022-09-02,10,2269
2022-09-02,11,103
2022-09-02,12,20
2022-09-02,15,151
2022-09-02,16,271
2022-09-03,1,984
2022-09-03,2,19164
2022-09-03,3,4099
2022-09-03,4,5
2022-09-03,5,1747
2022-09-03,8,41
2022-09-03,9,37
2022-09-03,10,1615
2022-09-03,11,68
2022-09-03,12,30
2022-09-03,15,128
2022-09-03,16,117
2022-09-04,1,1047
2022-09-04,2,19712
2022-09-04,3,4001
2022-09-04,4,6
2022-09-04,5,1761
2022-09-04,8,32
2022-09-04,9,30
2022-09-04,10,1537
2022-09-04,11,85
2022-09-04,12,28
2022-09-04,15,114
2022-09-04,16,267
2022-09-05,1,1677
2022-09-05,2,34428
2022-09-05,3,5687
2022-09-05,4,6
2022-09-05,5,2634
2022-09-05,8,70
2022-09-05,9,45
2022-09-05,10,2248
2022-09-05,11,112
2022-09-05,12,17
2022-09-05,15,167
2022-09-05,16,286
2022-09-06,1,1740
2022-09-06,2,41306
2022-09-06,3,5596
2022-09-06,4,2
2022-09-06,5,3093
2022-09-06,8,51
2022-09-06,9,69
2022-09-06,10,2367
2022-09-06,11,118
2022-09-06,12,24
2022-09-06,15,233
2022-09-06,16,279
2022-09-07,1,1746
2022-09-07,2,40673
2022-09-07,3,5812
2022-09-07,4,6
2022-09-07,5,3076
2022-09-07,8,43
2022-09-07,9,58
2022-09-07,10,2430
2022-09-07,11,116
2022-09-07,12,54
2022-09-07,15,375
2022-09-07,16,348
2022-09-08,1,1725
2022-09-08,2,39959
2022-09-08,3,5772
2022-09-08,4,9
2022-09-08,5,3089
2022-09-08,8,46
2022-09-08,9,36
2022-09-08,10,2555
2022-09-08,11,126
2022-09-08,12,39
2022-09-08,15,429
2022-09-08,16,350
2022-09-09,1,1585
2022-09-09,2,35264
2022-09-09,3,5074
2022-09-09,4,3
2022-09-09,5,2834
2022-09-09,8,44
2022-09-09,9,50
2022-09-09,10,2385
2022-09-09,11,129
2022-09-09,12,21
2022-09-09,15,204
2022-09-09,16,351
2022-09-10,1,1022
2022-09-10,2,19309
2022-09-10,3,3862
2022-09-10,4,3
2022-09-10,5,1737
2022-09-10,8,32
2022-09-10,9,46
2022-09-10,10,1626
2022-09-10,11,76
2022-09-10,12,25
2022-09-10,15,190
2022-09-10,16,209
2022-09-11,1,990
2022-09-11,2,19593
2022-09-11,3,3927
2022-09-11,4,2
2022-09-11,5,1697
2022-09-11,8,34
2022-09-11,9,36
2022-09-11,10,1573
2022-09-11,11,69
2022-09-11,12,23
2022-09-11,15,98
2022-09-11,16,185
2022-09-12,1,1829
2022-09-12,2,37701
2022-09-12,3,5724
2022-09-12,4,4
2022-09-12,5,2806
2022-09-12,8,77
2022-09-12,9,43
2022-09-12,10,2382
2022-09-12,11,123
2022-09-12,12,33
2022-09-12,15,223
2022-09-12,16,228
2022-09-13,1,1782
2022-09-13,2,41216
2022-09-13,3,6223
2022-09-13,4,7
2022-09-13,5,3101
2022-09-13,8,45
2022-09-13,9,69
2022-09-13,10,2689
2022-09-13,11,106
2022-09-13,12,53
2022-09-13,15,289
2022-09-13,16,240
2022-09-14,1,1831
2022-09-14,2,41115
2022-09-14,3,6247
2022-09-14,4,2
2022-09-14,5,3202
2022-09-14,8,54
2022-09-14,9,46
2022-09-14,10,2666
2022-09-14,11,111
2022-09-14,12,29
2022-09-14,15,287
2022-09-14,16,266
2022-09-15,1,1845
2022-09-15,2,39755
2022-09-15,3,5967
2022-09-15,4,7
2022-09-15,5,3147
2022-09-15,8,39
2022-09-15,9,49
2022-09-15,10,2345
2022-09-15,11,125
2022-09-15,12,34
2022-09-15,15,157
2022-09-15,16,278
2022-09-16,1,1709
2022-09-16,2,35698
2022-09-16,3,5752
2022-09-16,4,12
2022-09-16,5,2749
2022-09-16,8,35
2022-09-16,9,48
2022-09-16,10,2411
2022-09-16,11,120
2022-09-16,12,37
2022-09-16,15,282
2022-09-16,16,315
2022-09-17,1,1030
2022-09-17,2,18796
2022-09-17,3,4417
2022-09-17,4,4
2022-09-17,5,1706
2022-09-17,8,36
2022-09-17,9,35
2022-09-17,10,1760
2022-09-17,11,83
2022-09-17,12,31
2022-09-17,15,287
2022-09-17,16,181
2022-09-18,1,1069
2022-09-18,2,19776
2022-09-18,3,4377
2022-09-18,4,1
2022-09-18,5,1701
2022-09-18,8,26
2022-09-18,9,29
2022-09-18,10,1643
2022-09-18,11,120
2022-09-18,12,17
2022-09-18,15,201
2022-09-18,16,153
2022-09-19,1,1776
2022-09-19,2,37507
2022-09-19,3,5618
2022-09-19,4,4
2022-09-19,5,2764
2022-09-19,8,71
2022-09-19,9,36
2022-09-19,10,2537
2022-09-19,11,111
2022-09-19,12,31
2022-09-19,15,297
2022-09-19,16,302
2022-09-20,1,1732
2022-09-20,2,40799
2022-09-20,3,6179
2022-09-20,4,4
2022-09-20,5,3053
2022-09-20,8,49
2022-09-20,9,68
2022-09-20,10,2741
2022-09-20,11,152
2022-09-20,12,35
2022-09-20,15,306
2022-09-20,16,407
2022-09-21,1,1717
2022-09-21,2,38766
2022-09-21,3,6024
2022-09-21,4,7
2022-09-21,5,2866
2022-09-21,8,55
2022-09-21,9,56
2022-09-21,10,2485
2022-09-21,11,127
2022-09-21,12,24
2022-09-21,15,237
2022-09-21,16,411
2022-09-22,1,1771
2022-09-22,2,39399
2022-09-22,3,6062
2022-09-22,4,4
2022-09-22,5,3227
2022-09-22,8,43
2022-09-22,9,48
2022-09-22,10,2566
2022-09-22,11,121
2022-09-22,12,32
2022-09-22,15,253
2022-09-22,16,345
2022-09-23,1,1655
2022-09-23,2,35187
2022-09-23,3,5482
2022-09-23,4,4
2022-09-23,5,2800
2022-09-23,8,37
2022-09-23,9,51
2022-09-23,10,2405
2022-09-23,11,132
2022-09-23,12,35
2022-09-23,15,179
2022-09-23,16,420
2022-09-24,1,975
2022-09-24,2,18604
2022-09-24,3,4192
2022-09-24,4,4
2022-09-24,5,1715
2022-09-24,8,37
2022-09-24,9,25
2022-09-24,10,1589
2022-09-24,11,78
2022-09-24,12,22
2022-09-24,15,151
2022-09-24,16,179
